index, timestamp, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2021/02/23 17:56:52.505, P2, 73, 84 %, 40 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:56:52.506, P2, 81, 69 %, 34 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:56:53.507, P2, 72, 78 %, 38 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:56:53.508, P2, 81, 63 %, 30 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:56:54.508, P2, 72, 83 %, 39 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:56:54.509, P2, 82, 69 %, 34 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:56:55.509, P2, 72, 85 %, 41 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:56:55.510, P2, 82, 71 %, 35 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:56:56.511, P2, 73, 81 %, 38 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:56:56.511, P2, 82, 69 %, 34 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:56:57.512, P2, 73, 83 %, 39 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:56:57.512, P2, 82, 71 %, 35 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:56:58.513, P2, 73, 83 %, 41 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:56:58.513, P2, 82, 74 %, 37 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:56:59.514, P2, 73, 84 %, 42 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:56:59.514, P2, 82, 73 %, 37 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:00.515, P2, 73, 78 %, 38 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:00.515, P2, 82, 68 %, 32 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:01.516, P2, 73, 85 %, 40 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:01.516, P2, 82, 68 %, 33 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:02.517, P2, 73, 78 %, 38 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:02.517, P2, 82, 68 %, 33 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:03.518, P2, 73, 82 %, 41 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:03.518, P2, 82, 72 %, 36 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:04.519, P2, 73, 80 %, 39 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:04.519, P2, 82, 72 %, 34 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:05.520, P2, 73, 80 %, 40 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:05.520, P2, 82, 64 %, 31 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:06.521, P2, 73, 82 %, 38 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:06.521, P2, 82, 73 %, 37 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:07.522, P2, 73, 77 %, 38 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:07.522, P2, 82, 68 %, 33 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:08.523, P2, 73, 83 %, 41 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:08.524, P2, 82, 69 %, 33 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:09.524, P2, 73, 79 %, 39 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:09.525, P2, 82, 67 %, 32 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:10.525, P2, 73, 83 %, 41 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:10.526, P2, 83, 76 %, 37 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:11.526, P2, 73, 84 %, 40 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:11.527, P2, 83, 69 %, 34 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:12.527, P2, 73, 84 %, 40 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:12.528, P2, 83, 74 %, 37 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:13.529, P2, 74, 84 %, 40 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:13.530, P2, 83, 71 %, 34 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:14.534, P2, 73, 85 %, 43 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:14.534, P2, 83, 71 %, 35 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:15.535, P2, 74, 82 %, 41 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:15.536, P2, 83, 70 %, 35 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:16.536, P2, 74, 82 %, 38 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:16.537, P2, 83, 69 %, 32 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:17.537, P2, 74, 85 %, 40 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:17.538, P2, 83, 70 %, 35 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:18.538, P2, 74, 78 %, 38 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:18.539, P2, 83, 69 %, 33 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:19.539, P2, 74, 82 %, 39 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:19.540, P2, 83, 68 %, 33 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:20.540, P2, 74, 82 %, 39 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:20.541, P2, 83, 69 %, 33 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:21.541, P2, 74, 87 %, 41 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:21.542, P2, 83, 70 %, 34 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:22.542, P2, 74, 84 %, 41 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:22.543, P2, 83, 71 %, 36 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:23.543, P2, 74, 86 %, 43 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:23.544, P2, 83, 69 %, 32 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:24.544, P2, 74, 87 %, 40 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:24.545, P2, 83, 72 %, 35 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:25.545, P2, 74, 84 %, 42 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:25.546, P2, 83, 75 %, 38 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:26.546, P2, 74, 79 %, 39 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:26.547, P2, 83, 74 %, 37 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:27.547, P2, 74, 81 %, 40 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:27.548, P2, 83, 58 %, 29 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:28.548, P2, 72, 38 %, 14 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:28.549, P2, 82, 28 %, 13 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:29.549, P2, 72, 37 %, 14 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:29.550, P2, 82, 37 %, 17 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:30.550, P2, 72, 42 %, 17 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:30.551, P2, 81, 30 %, 13 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:31.552, P2, 72, 44 %, 17 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:31.552, P2, 81, 37 %, 17 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:32.553, P2, 72, 45 %, 17 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:32.553, P2, 81, 38 %, 17 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:33.554, P2, 72, 45 %, 17 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:33.554, P2, 81, 32 %, 13 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:34.555, P2, 71, 41 %, 15 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:34.555, P2, 81, 35 %, 17 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:35.556, P2, 71, 43 %, 16 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:35.556, P2, 81, 39 %, 17 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:36.557, P2, 71, 50 %, 20 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:36.557, P2, 81, 37 %, 17 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:37.558, P2, 70, 1 %, 0 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:37.558, P2, 80, 2 %, 0 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:38.559, P2, 71, 46 %, 18 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:38.560, P2, 80, 37 %, 17 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:39.560, P2, 69, 0 %, 0 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:39.561, P2, 79, 0 %, 0 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:40.561, P2, 71, 80 %, 38 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:40.562, P2, 81, 71 %, 35 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:41.562, P2, 71, 83 %, 40 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:41.563, P2, 81, 73 %, 36 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:42.563, P2, 72, 83 %, 41 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:42.564, P2, 81, 75 %, 38 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:43.565, P2, 72, 84 %, 42 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:43.565, P2, 81, 73 %, 36 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:44.566, P2, 72, 83 %, 41 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:44.566, P2, 81, 71 %, 35 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:45.567, P2, 72, 84 %, 42 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:45.567, P2, 81, 69 %, 34 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:46.568, P2, 72, 87 %, 43 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:46.568, P2, 81, 73 %, 36 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:47.569, P2, 72, 83 %, 41 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:47.569, P2, 82, 72 %, 34 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:48.570, P2, 72, 85 %, 42 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:48.570, P2, 82, 70 %, 34 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:49.571, P2, 72, 85 %, 41 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:49.571, P2, 82, 71 %, 36 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:50.572, P2, 72, 81 %, 40 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:50.572, P2, 82, 73 %, 37 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:51.573, P2, 73, 82 %, 41 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:51.573, P2, 82, 72 %, 35 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:52.574, P2, 73, 87 %, 42 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:52.574, P2, 82, 71 %, 34 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:53.575, P2, 73, 83 %, 40 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:53.576, P2, 82, 71 %, 36 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:54.576, P2, 72, 53 %, 25 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:54.577, P2, 81, 71 %, 35 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:55.577, P2, 73, 73 %, 35 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:55.578, P2, 82, 66 %, 32 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:56.578, P2, 73, 82 %, 41 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:56.579, P2, 82, 71 %, 34 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:57.579, P2, 73, 75 %, 37 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:57.580, P2, 82, 72 %, 35 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:58.580, P2, 73, 85 %, 43 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:58.581, P2, 82, 69 %, 32 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:57:59.582, P2, 73, 79 %, 39 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:57:59.582, P2, 82, 72 %, 34 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:58:00.582, P2, 73, 84 %, 42 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:58:00.583, P2, 82, 69 %, 33 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:58:01.584, P2, 73, 83 %, 40 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:58:01.584, P2, 82, 71 %, 36 %, 11177 MiB, 10003 MiB, 1174 MiB
0, 2021/02/23 17:58:02.585, P2, 73, 81 %, 40 %, 11178 MiB, 9277 MiB, 1901 MiB
1, 2021/02/23 17:58:02.585, P2, 82, 66 %, 32 %, 11177 MiB, 10003 MiB, 1174 MiB
